type,param,seed,P0_sim,W_sim,L_sim,throughput_sim,time,P0_th,W_th,L_th,thr_th
lambda,0.5,10,0.9169832396874222,0.18174197207896836,0.09091700310681458,0.5002532,0.47,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,11,0.9165526768760741,0.1819633755467401,0.09102974430085195,0.5002641,0.47,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,12,0.916807088085,0.18180919401698134,0.09085836293045214,0.4997457,0.47,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,13,0.9166862560727159,0.1818871294956756,0.09099274702765343,0.5002704,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,14,0.9166875611588785,0.18182437991676748,0.09093615441165677,0.5001318,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,15,0.9167060104811922,0.18183372421038804,0.0908926418531292,0.4998668,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,16,0.9167255277443215,0.18175128165508264,0.09085851985680941,0.4999059,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,17,0.9167476834467568,0.18189552431272482,0.09094763482949539,0.4999993,0.47,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,18,0.9166694671080162,0.1816990120434133,0.09083518813955763,0.4999212,0.47,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,19,0.9166116437489468,0.18185523133823092,0.09097237024154779,0.5002461,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,20,0.9167707354147083,0.18173266473483055,0.09086451504076792,0.49999,0.47,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,21,0.9167288471567242,0.18183152673034714,0.09096865815629943,0.5002909,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,22,0.9166674828800084,0.1816906415888639,0.09089577628560118,0.5002777,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,23,0.9168688048513164,0.18168263464762066,0.09083913713219456,0.499988,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,24,0.916494467364367,0.18185812719548666,0.09096463504742276,0.5001956,0.49,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,25,0.916718624779532,0.18182484223570006,0.09095655000706064,0.5002427,0.46,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,26,0.9166936450419482,0.1819737635293454,0.09094739345798683,0.499783,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,27,0.9167159079577857,0.1818825149728202,0.09101890313205199,0.5004269,0.48,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,28,0.9168238503561953,0.18172055615819419,0.09087934056543809,0.5001049,0.44,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,29,0.9168690160814745,0.18157493146973608,0.09072042827016942,0.4996308,0.45,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
lambda,0.5,30,0.9166401838169601,0.18178587798948,0.09095180126203299,0.5003238,0.47,0.9166666666666666,0.18181818181818182,0.09090909090909091,0.5
